0.39	2.07
0.49	2.19
0.55	2.33
0.61	2.45
0.67	2.55
0.73	2.63
0.79	2.72
0.85	2.80
0.91	2.87
0.97	2.94
1.03	3.01
1.09	3.07
1.15	3.13
1.21	3.18
1.27	3.23
1.34	3.29
1.40	3.34
1.46	3.39
1.52	3.43
1.58	3.46
1.64	3.50
1.70	3.54
1.76	3.57
1.82	3.60
1.88	3.63
1.94	3.64
2.00	3.67
2.06	3.69
2.12	3.72
2.19	3.74
2.25	3.76
2.31	3.76
2.37	3.76
2.43	3.76
2.49	3.77
2.55	3.77
2.61	3.77
2.67	3.77
2.73	3.77
2.79	3.77
2.85	3.77
2.91	3.77
2.97	3.77
3.04	3.76
3.10	3.76
3.16	3.76
3.22	3.75
3.28	3.75
3.34	3.73
3.40	3.73
3.46	3.72
3.52	3.71
3.58	3.71
3.64	3.69
3.70	3.69
3.76	3.69
3.82	3.69
3.89	3.69
3.95	3.68
4.01	3.68
4.07	3.68
4.13	3.67
4.19	3.66
4.25	3.66
4.31	3.64
